한글,French,Example Sentence,Translated Sentence,Explanation
마찬가지,"pareil, idem",저도 마찬가지예요.,"Moi aussi, pareil.","Sert à marquer la même opinion/situation. Polie, omniprésente en conversation."
문화생활,vie culturelle,바쁜데도 문화생활을 챙겨요.,"Même occupé, je garde une vie culturelle.","Film, expo, théâtre, concert… Marque l’équilibre et l’enrichissement personnel."
사우나,sauna,운동 후에 사우나 가면 피로가 풀려요.,Le sauna après sport détend.,Très courant en Corée (찜질방). Contexte détente/santé sociale (amis/collègues).
수,nombre; moyen; possibilité,참가 수가 부족해요.,Le nombre de participants est insuffisant.,"Nom polyvalent: “nombre” (인원 수), “moyen/solution” (방법/수단), “possibilité” (할 수 있다). Le sens dépend du contexte."
수다,"bavardage, papote",친구랑 수다 떨다 보니 시간이 금방 갔어요.,"À force de papoter, le temps a filé.","Conversation légère entre proches; positif (liens sociaux, défouloir). Verbe: 수다를 떨다."
술자리,moment pour boire,회식 후 술자리가 길어졌어요.,"Après le dîner d’équipe, la soirée arrosée s’est prolongée.","Contexte social/entreprise; peut impliquer étiquette (boire avec modération, respect des aînés)."
영양제,compléments nutritionnels,피곤해서 영양제를 챙겨 먹어요.,"Fatigué, je prends des compléments.",Vitamines/minéraux/probiotiques. Nuance pratique et non médicale stricte.
육체,corps (physique),육체와 정신의 균형이 필요해요.,Il faut l’équilibre du corps et de l’esprit.,"Terme formel/abstrait, souvent opposé à 정신. Contexte santé, philosophie, travail physique."
인삼,ginseng,인삼은 원기 회복에 좋아요.,Le ginseng aide à retrouver de l’énergie.,"Racine emblématique (홍삼 = ginseng rouge). Boissons, infusions, extraits; cadeau de prestige."
전부,"tout, entièrement",비용은 전부 제가 낼게요.,Je paierai tout.,Synonyme de 모두/다 mais nuance d’entièreté forte. Très courant en promesse ou bilan.
최근,récemment; récent,최근에 운동을 다시 시작했어요.,J’ai récemment repris le sport.,"Marque une période proche; utile pour actualiser un état (최근 근황, 최근 소식)."
한약,remède de médecine traditionnelle,한의원에서 한약을 지었어요.,La clinique orientale m’a préparé des herbes.,"Préparations sur mesure; prises selon “복용법”. Voc: 한의사 (praticien), 탕약/환약 (formes)."
흡연,tabagisme; fumer,이 건물은 흡연이 금지예요.,Fumer est interdit dans ce bâtiment.,"Usage formel (panneaux, règlements). Collocations: 흡연구역/금연구역."
복용하다,prendre (un médicament),처방약을 규칙적으로 복용하세요.,Prenez votre traitement régulièrement.,Verbe formel écrit/oral médical. Plus soutenu que 먹다/마시다 pour médicaments.
조사하다,"enquêter, examiner",부작용 원인을 조사하고 있어요.,On examine la cause des effets secondaires.,"Recherche dans contexte médical, académique, administratif. Nom: 조사(연구)."
아깝다,regrettable (gâchis),이렇게 버리기엔 아깝네요.,Ce serait dommage de jeter ça.,"Sentiment de perte d’une ressource (temps, argent, effort). Nuance émotionnelle fréquente."
돈이 아깝다,regretter l’argent dépensé,품질이 별로라 돈이 아까웠어요.,"Vu la qualité, j’ai regretté l’argent dépensé.",Variante concrète de 아깝다 centrée sur le coût/performance. Très idiomatique au quotidien.
정신 건강,santé mentale,회사에서 정신 건강 프로그램을 운영해요.,L’entreprise propose un programme de santé mentale.,"Bien‑être psychique/émotionnel. Collocations: 상담(consultation), 관리(gestion), 회복(guérison)."
스트레스가 쌓이다,accumuler du stress,마감이 겹쳐서 스트레스가 쌓였어요.,Les deadlines qui s’enchaînent m’ont stressé.,"Processus graduel; déclencheurs: travail, relations, santé. Souvent amène à “풀다/해소하다”."
스트레스를 풀다,"déstresser, relâcher",음악 들으며 스트레스를 풀어요.,J’évacue le stress en écoutant de la musique.,"Verbe usuel pour méthodes personnelles (sport, hobbies, sauna, voyage)."
스트레스 해소 방법,méthode pour réduire le stress,본인만의 스트레스 해소 방법이 있나요?,As‑tu ta méthode pour déstresser ?,"Expression nominale pour lister/recommander stratégies (명상, 달리기, 수다 등)."
인기를 끌다,gagner en popularité,그 제품이 SNS에서 인기를 끌고 있어요.,Ce produit devient populaire sur les réseaux.,"Locution figée: “attirer la popularité/attention”. Contexte médias, tendances, marketing."
,,,,
4과,,,,
TV 홈쇼핑,télé-achat TV,TV 홈쇼핑에서 샀어요.,Je l’ai acheté via le télé-achat.,Chaînes TV vendant des produits avec promotions limitées. Commande par téléphone/app ou site.
대형 할인 매장,hypermarché à bas prix,대형 할인 매장에서 장 봤어요.,J’ai fait les courses dans un hyper discount.,"Grandes surfaces (type E‑Mart, Homeplus) avec prix compétitifs et cartes de fidélité."
벼룩시장,marché aux puces,주말에 벼룩시장에 가요.,Je vais au marché aux puces ce week-end.,"Marché d’occasion, troc, artisanat. Prix négociables."
인터넷 쇼핑몰,boutique en ligne,인터넷 쇼핑몰에서 주문했어요.,J’ai commandé sur une boutique en ligne.,"Sites/plates-formes e‑commerce. Livraison rapide, options de retour."
전자 상가,centre d’électronique,전자 상가에서 비교해 봐요.,Comparons au centre d’électronique.,"Ensemble de magasins d’électronique (ex. Yongsan). Prix négociables, beaucoup de modèles."
제품,produit,이 제품은 품질이 좋아요.,Ce produit est de bonne qualité.,"Terme générique pour article commercial. Souvent avec 신제품, 전자 제품."
신제품,nouveau produit,신제품이 출시됐어요.,Un nouveau produit est sorti.,Sortie récente; souvent accompagné de promos et de démos.
전자 제품,produit électronique,전자 제품은 A/S가 중요해요.,Le SAV est crucial pour l’électronique.,"Inclut TV, PC, rasoirs, aspirateurs. A/S = service après-vente."
면도기,rasoir (électrique),면도기가 고장났어요.,Mon rasoir est en panne.,Peut être manuel ou électrique; souvent classé en “전자 제품” s’il est électrique.
기능,"fonction, fonctionnalité",어떤 기능이 있어요?,Quelles fonctionnalités y a‑t‑il ?,"Détaille capacités techniques (Wi‑Fi, Bluetooth, etc.)."
건조 기능,fonction séchage,건조 기능이 있어서 편해요.,La fonction séchage est pratique.,"Machines à laver, lave-vaisselle, sèche-cheveux; “드럼 세탁기 건조 기능”."
녹음 기능,fonction d’enregistrement,이 기계에 녹음 기능이 있어요.,Cet appareil a une fonction d’enregistrement.,"Dictaphones, smartphones, appareils multi‑médias."
반복 기능,fonction répétition,반복 기능으로 다시 들어요.,Je réécoute avec la fonction répétition.,"Lecture en boucle (audio/vidéo), utile pour l’étude des langues."
음성,"voix, audio",음성 안내가 나와요.,Une annonce vocale sort.,"Peut être “voix humaine” ou “audio” (assistant vocal, messages)."
자동 응답 기능,répondeur automatique,자동 응답 기능을 설정했어요.,J’ai activé le répondeur.,"Réponse automatique (téléphone, service client, IoT)."
취침 예약 기능,minuterie de veille / alarme telephone,취침 예약 기능으로 자동 종료돼요.,La minuterie éteint l’appareil.,Timer “sleep” pour TV/climatiseur/ventilateur la nuit.
계산은 어떻게 해 드릴까요?,Comment souhaitez-vous payer ?,계산은 어떻게 해 드릴까요?,Comment désirez-vous régler ?,"Formule vendeur au moment du paiement (carte, espèces, mobile, sans contact)."
이게 요즘 제일 잘 나가요,C’est ce qui se vend le mieux,이게 요즘 제일 잘 나가요.,C’est le best‑seller du moment.,Argument de vente courant; “잘 나가다” = forte demande.
특별히 찾는 거 있으세요?,Cherchez-vous quelque chose en particulier ?,특별히 찾는 거 있으세요?,Vous cherchez quelque chose de précis ?,Ouverture de dialogue en magasin; polie et serviable.
기회,opportunité,이번 기회를 놓치지 마세요.,Ne ratez pas cette opportunité.,Promo/événement limité; collocations: 좋은/절호의 기회.
목록,"liste, catalogue",제품 목록을 보내 드릴게요.,Je vous enverrai la liste des produits.,Listing d’articles/fonctions; document ou page web.
지난번,la dernière fois,지난번에 본 제품이에요.,C’est le produit vu la dernière fois.,Marque un référent temporel antérieur dans la conversation.
할부,paiement en plusieurs fois,12개월 할부로 해 주세요.,Mettez en 12 fois s’il vous plaît.,Paiement fractionné (souvent sans frais pour cartes locales).
일시불,paiement en une fois (comptant),일시불로 계산할게요.,Je vais payer en une fois.,"Paiement unique, souvent privilégié pour éviter les frais ou simplifier l’achat."
돌려주다,"rendre, restituer",영수증을 돌려드릴게요.,Je vous rends le reçu.,Rendre un objet/argent; avec honorifique pour client.
적당하다,"convenir, approprié",가격이 적당하네요.,Le prix est raisonnable.,Équilibre correct entre qualité/prix/taille.
복잡하다,être complexe,,,
사은품,freebie,,,
편리하다,to be convenient,,,
버튼이 안 눌러지다,le bouton ne s’enfonce pas,버튼이 안 눌러져요.,Le bouton ne marche pas.,Symptôme de panne (mécanique/logicielle). À dire au SAV.
빨래를 말리다,sécher le linge,베란다에서 빨래를 말렸어요.,J’ai fait sécher le linge au balcon.,Action de séchage (naturel ou machine).
소음이 심해지다,le bruit s’intensifie,사용 중 소음이 심해졌어요.,Le bruit a empiré pendant l’usage.,"Plaintes fréquentes sur appareils (ventilateur, clim, frigo)."
작동이 안 되다,ne pas fonctionner,갑자기 작동이 안 돼요.,Ça ne fonctionne plus soudainement.,Formulation standard pour panne; utile au téléphone avec SAV.
그럼 이번 기회에 바꿀까요?,Et si on en profitait pour changer ?,그럼 이번 기회에 바꿀까요?,On change à cette occasion ?,Proposition douce d’achat/remplacement lors d’une promo/panne.
어 전자 사전이 왜 이러지?,"Euh, pourquoi mon dico électronique fait ça ?",어 전자 사전이 왜 이러지?,"Euh, qu’est-ce qui ne va pas avec mon dico électronique ?",Réaction spontanée à un dysfonctionnement; “왜 이러지?” = “pourquoi ça fait ça ?”
교환,échange (de produit),일주일 이내 교환 가능해요.,Échange possible sous une semaine.,"Politique magasin; souvent avec 영수증, 포장 상태."
반품,retour (de marchandise),단순 변심 반품은 택배비가 들어요.,Le retour par simple changement d’avis coûte des frais.,"Retour produit; conditions: délai, état, motif."
무이자,sans intérêts,6개월 무이자 할부,Paiement en 6 mois sans intérêts,Terme promo lié aux cartes et financements.
벨트,ceinture,벨트 구멍을 더 뚫었어요.,J’ai ajouté un trou à la ceinture.,Accessoire vestimentaire; parfois pièce machine (courroie) selon contexte.
색깔,couleur,이 색깔로 할게요.,Je prendrai cette couleur.,Variante plus parlée que 색; choix esthétique produit.
지볼,payment,,,
택배비,frais de livraison,택배비는 별도예요.,Les frais d’envoi sont en sus.,Coût d’expédition retour/aller. Terme très courant en e‑commerce coréen.
품질,qualité (du produit),품질 보증 기간이 길어요.,La garantie qualité est longue.,"Concerne durabilité, finitions; “품질 보증서” = certificat."
구입하다,"acheter, se procurer",온라인으로 구입했어요.,Je l’ai acheté en ligne.,Synonyme un peu plus formel de 사다/구매하다.
믿다,"faire confiance, croire",이 브랜드는 믿을 만해요.,Cette marque est fiable.,Utilisé pour établir la crédibilité d’une marque/marchand.
입금하다,virer (de l’argent),오늘 중으로 입금할게요.,Je ferai le virement aujourd’hui.,Paiement par virement bancaire (souvent pour marketplaces C2C).
가능하다,être possible,오늘 발송 가능해요.,Envoi possible aujourd’hui.,Forme formelle; opposé: 불가능하다.
불가능하다,être impossible,무이자 할부는 불가능합니다.,Le paiement sans intérêt est impossible.,Refus poli/administratif.
간단하다,être simple,설치가 간단해요.,L’installation est simple.,Décrit procédure/produit facile à utiliser.
가죽 재킷,veste en cuir,가죽 재킷은 관리가 중요해요.,L’entretien est important pour une veste en cuir.,Produit mode; attention à la taille/coupe/entretien (conditionneur).
신용 카드,carte de crédit,신용 카드로 일시불 할게요.,Je paie en une fois par carte.,“일시불” = paiement comptant; “할부” = en plusieurs fois.
뭐 하나 물어봐도 돼요?,Je peux vous demander un truc ?,뭐 하나 물어봐도 돼요?,Je peux poser une question ?,"Formule polie, conversationnelle, pour solliciter une info au vendeur."
뭔데요?,Quoi donc ?,뭔데요?,Qu’est-ce que c’est ?,Réponse directe et neutre; ton dépend de l’intonation (peut être sec ou amical).
기증,don (d’objets/argent),의류 기증을 받습니다.,Nous acceptons les dons de vêtements.,"Don à des œuvres, friperies solidaires; utilisé par associations."
기증 받다,recevoir des dons,중고 책을 기증 받았어요.,On a reçu des livres en don.,Côté organisation; formule passive “받다”.
기증하다,faire don (donner),재활용 센터에 기증했어요.,J’ai fait don au centre de recyclage.,Verbe d’action; valorisé socialement.
이달,ce mois-ci,이달 프로모션이 많아요.,Il y a beaucoup de promos ce mois-ci.,"Repère temporel dans pubs, bulletins, relevés."
주변,"alentours, entourage",주변 매장을 확인해 보세요.,Vérifiez les magasins aux alentours.,Espace proche (géographique/social).
트럭,camion,트럭으로 물건을 옮겼어요.,On a transporté les affaires en camion.,"Logistique, déménagement, livraisons volumineuses."
후원,"parrainage, soutien",아동 후원을 시작했어요.,J’ai commencé un parrainage d’enfant.,Don régulier/ponctuel; organisations caritatives.
후원 천사,“ange” parrain/soutien,후원 천사 모집 중입니다.,Nous recrutons des “anges” parrains.,Expression marketing affective pour désigner donateurs.
모으다,"rassembler, collecter",기부금을 모으고 있어요.,Nous collectons des dons.,Collecte d’argent/objets/points.
원하다,"vouloir, souhaiter",어떤 기능을 원하세요?,Quelles fonctions souhaitez-vous ?,Demande des besoins clients. Synonyme de 바라다 (plus souhait).
싼값에 팔다,vendre à bas prix,재고를 싼값에 팔아요.,On vend les stocks à bas prix.,Expression promo/liquidation; synonyme de 저렴하게 팔다.
어려운 사람,personne dans le besoin,어려운 사람들을 돕고 싶어요.,Je veux aider les personnes en difficulté.,Terme humanitaire/social.
자원 봉사자,bénévole,자원 봉사자를 모집해요.,On recrute des bénévoles.,"Services solidaires, événements caritatifs, logistique d’associations."
,,,,
5과,,,,
경찰서,commissariat de police,분실 신고하러 경찰서에 갔어요.,Je suis allé au commissariat pour déclarer une perte.,"Lieu pour déclarations (perte, vol, accident). Procédures officielles et récupération d’objets trouvés."
분실물 센터,centre des objets trouvés,지하철 분실물 센터에 문의했어요.,J’ai contacté le centre des objets trouvés du métro.,"Service de récupération (métro, aéroports, grands magasins). On décrit l’objet et la date."
사례금,récompense (pour restitution),지갑 찾아주시면 사례금 드릴게요.,Je vous donnerai une récompense si vous retrouvez mon portefeuille.,Somme donnée en remerciement. Terme courant dans annonces de perte.
큰일 났네,"Mince, c’est grave…",여권을 잃어버렸어. 큰일 났네.,J’ai perdu mon passeport. Quelle galère.,Exclamation spontanée face à un gros problème. Ton alarmé mais courant.
혹시 이거 아니에요?,"Par hasard, ce n’est pas ça ?",혹시 이거 아니에요? 지갑 맞나요?,Ce n’est pas ça par hasard ? C’est bien votre portefeuille ?,Formule polie pour vérifier prudemment si un objet correspond.
매표소,guichet (billetterie),매표소에서 표를 샀어요.,J’ai acheté un billet au guichet.,"Point de vente de billets (musée, gare, parc). Synonyme proche: 매표창구."
소나기,averse,소나기가 와서 다 젖었어요.,Une averse m’a trempé.,Pluie courte et soudaine. Fréquent l’été en Corée.
수첩,"carnet, calepin",중요한 번호를 수첩에 적었어요.,J’ai noté un numéro important dans mon carnet.,Petit carnet pour notes. Plus personnel et analogique que 노트.
은테,monture argentée (bordure argent),은테 안경을 잃어버렸어요.,J’ai perdu des lunettes à monture argentée.,"Se dit des bords/cerclages couleur argent (lunettes, cadre photo)."
떨어뜨리다,faire tomber,휴대폰을 떨어뜨렸어요.,J’ai fait tomber mon téléphone.,Verbe transitif (cause). ≠ 떨어지다 (tomber tout seul).
젖다,être mouillé,비에 옷이 다 젖었어요.,Mes vêtements sont trempés par la pluie.,Résultat d’une humidification; état après averse/renversement.
네모나다,"être carré, rectangulaire",네모난 수첩을 찾고 있어요.,Je cherche un carnet carré/rectangulaire.,Décrit la forme géométrique. Très utile pour donner un signalement.
깨져 있다,être (déjà) cassé,화면이 깨져 있어요.,L’écran est fissuré.,Construction “-아/어 있다” = état résultant d’une action passée.
꺼져 있다,être éteint,기기가 꺼져 있어요.,L’appareil est éteint.,Décrit l’état actuel (pas l’action d’éteindre).
닫혀 있다,être fermé (porte),문이 닫혀 있어요.,La porte est fermée.,"État statique; ≠ 닫다 (fermer, action)."
달려 있다,"être attaché, suspendu",열쇠고리에 카드가 달려 있어요.,Une carte est attachée au porte-clés.,Décrit un objet fixé/pendu à autre chose.
들어 있다,"contenir, être à l’intérieur",가방에 지갑이 들어 있어요.,Le portefeuille est dans le sac.,Indique contenu interne; très courant pour signalements.
떨어져 있다,être tombé / par terre,본체와 케이블이 떨어져 있어요.,Le câble est séparé du boîtier.,Indique distance/dispersion par rapport à un ensemble.
쓰여 있다,il est écrit,표지에 이름이 쓰여 있어요.,Le nom est écrit sur la couverture.,Très utile pour lire ce qui figure sur un panneau/objet.
열려 있다,être ouvert,창문이 열려 있어요.,La fenêtre est ouverte.,"État actuel, résultat d’une ouverture antérieure."
켜져 있다,être allumé,불이 켜져 있어요.,La lumière est allumée.,"État électrique actif (écran, lampe, appareil)."
빠뜨리다,to drop,,,
"네, 그렇게 해요","Oui, faisons comme ça","네, 그렇게 해요.","Oui, faisons ainsi.",Acceptation polie d’une proposition. Courant en service/public.
어떻게 하죠?,On fait comment ?,"표를 잃어버렸는데, 어떻게 하죠?","J’ai perdu mon billet, on fait comment ?",Demande d’instruction polie face à un problème.
금도끼,hache d’or,금도끼를 잃어버린 나무꾼 이야기,L’histoire du bûcheron et de la hache d’or,Motif d’un conte moral coréen classique (honnêteté).
은도끼,hache d’argent,연못에서 은도끼가 나왔어요.,La hache d’argent est sortie de l’étang.,Variante du même conte (tests d’honnêteté).
쇠도끼,hache en fer,원래 제 건 쇠도끼예요.,"À l’origine, la mienne est en fer.",Le héros avoue que sa hache est en fer → récompense.
산속,au cœur de la montagne,산속 연못에서 일이 벌어졌어요.,L’affaire s’est passée au cœur de la montagne.,Lieu de contes/aventures; image d’isolement.
소식,"nouvelles, nouvelles reçues",친구에게서 소식을 들었어요.,J’ai eu des nouvelles d’un ami.,Information/contacts; ≠ 음식 “소식(少食)” = manger peu.
연못,étang,연못에 도끼가 빠졌어요.,La hache est tombée dans l’étang.,Décor récurrent des contes (apparition d’une divinité).
옛날,autrefois,옛날 이야기예요.,C’est une histoire d’autrefois.,Marque le passé lointain; introduit contes.
옛날 옛날에,Il était une fois,옛날 옛날에 한 나무꾼이 살았어요.,"Il était une fois, vivait un bûcheron.",Formule d’ouverture traditionnelle des contes coréens.
옛날이야기,conte traditionnel,아이들에게 옛날이야기를 들려줬어요.,J’ai raconté un conte aux enfants.,Récit folklorique avec morale.
욕심,"cupidité, avidité",욕심을 부리면 안 돼요.,Il ne faut pas être avide.,Désir excessif; souvent négatif dans les morales.
욕심이 많다,être très avide,그는 욕심이 많아요.,Il est très avide.,"Qualité négative; opposé moral à 정직함, 절제."
갖다,"avoir, prendre",우산 좀 갖고 가요.,Prends un parapluie.,Forme contractée/coloquiale de 가지다; en composition (갖다 주다).
갖고 가다,emporter (avec soi),우산을 갖고 갔어요.,Il a emporté un parapluie.,“갖다 + 가다” = prendre et aller. Très usuel.
나타나다,"apparaître, émerger",갑자기 요정이 나타났어요.,Une fée est apparue soudainement.,"Dans contes/rapports, apparition inattendue (personne/objet)."
용서하다,pardonner,잘못을 용서했어요.,J’ai pardonné sa faute.,Dimension morale/relationnelle (réconciliation).
정직하다,être honnête,정직한 답을 했어요.,Il a répondu honnêtement.,Valeur positive; qualité récompensée dans contes.
엉엉,ouin ouin (pleurs forts),아이가 엉엉 울었어요.,L’enfant pleurait à chaudes larmes.,"Onomatopée de pleurs bruyants, souvent enfantins."
일부러,"exprès, volontairement",일부러 그런 거 아니에요.,Ce n’était pas fait exprès.,Marque l’intention (ou sa négation). Important dans excuses.
남,"autrui, les autres",남의 물건을 함부로 쓰면 안 돼요.,On ne doit pas utiliser les affaires d’autrui.,“Les autres” vs soi; nuance sociale de respect des biens/droits.
뒷자리,siège arrière,뒷자리에 앉을게요.,Je vais m’asseoir à l’arrière.,"Voiture, salle, théâtre; contraire: 앞자리."
쇼핑백,sac de shopping,쇼핑백에 넣어 드릴까요?,Je vous mets ça dans un sac de shopping ?,Sac papier/plastique de boutique.
하루하루,jour après jour,하루하루가 바빠요.,Chaque jour est chargé.,"Accent sur la répétition quotidienne, parfois difficile."
갚다,rembourser,빌린 돈을 갚았어요.,J’ai remboursé l’argent emprunté.,Remboursement de dette/ faveur (은혜를 갚다 = rendre un bienfait).
거절하다,refuser,제안을 정중히 거절했어요.,J’ai poliment refusé la proposition.,Registre formel; synonyme plus direct que “사양하다” (décliner).
발견하다,"découvrir, trouver",지갑을 길에서 발견했어요.,J’ai trouvé un portefeuille dans la rue.,Découverte par hasard ou recherche.
변하다,changer (devenir différent),계절이 변하고 있어요.,La saison change.,Transformation d’état/situation; intransitif.
신고하다,"déclarer, signaler",분실물을 경찰에 신고했어요.,J’ai déclaré l’objet perdu à la police.,"Acte officiel (perte, vol, incident). Documents requis possibles."
실패하다,échouer,한 번 실패했지만 다시 도전해요.,J’ai échoué une fois mais je retente.,Verbe formel; souvent suivi de motivation à réessayer.
결국,"finalement, en fin de compte",결국 찾아냈어요.,"Finalement, on l’a retrouvé.",Bilan conclusif d’une série d’événements.
당연히,"bien sûr, naturellement",당연히 돌려줘야죠.,Bien sûr qu’il faut le rendre.,Marque l’évidence morale/logique.
만약,si (hypothétique),만약 못 찾으면 어떻게 하죠?,"Et si on ne le trouve pas, on fait quoi ?",Introduit une condition hypothétique; s’emploie avec -(으)면.
고민에 빠지다,être plongé dans un dilemme,그는 고민에 빠졌어요.,Il est tombé dans un dilemme.,Conflit intérieur soutenu; choix moral/pratique difficile.
두고 내리다,laisser (dans un transport),버스에 가방을 두고 내렸어요.,J’ai laissé mon sac dans le bus.,Expression fixe pour un oubli en descendant. À dire au centre des objets trouvés.
,,,,
6과,,,,
변명하다,"se justifier, donner des excuses",변명하지 말고 솔직히 말해요.,"Ne te justifie pas, dis la vérité.",Connotation souvent négative (excuse pour se dédouaner). S’oppose à 사과하다 (présenter des excuses sincères).
사과하다,s’excuser,늦어서 사과합니다.,Je m’excuse pour mon retard.,"Excuses formelles ou sincères. Formes: 미안해(요) (informel), 죄송합니다 (formel)."
깜빡 잊어버리고 말을 못 했어,j’ai totalement oublié de dire…,깜빡 잊어버리고 말을 못 했어요.,J’ai complètement oublié de te le dire.,Formule très naturelle pour “oublier sans faire exprès”. Compléter la phrase après 말을.
무슨 일이 생긴 줄 알았어요,je croyais qu’il t’était arrivé quelque chose,연락이 없길래 무슨 일이 생긴 줄 알았어요.,"Sans nouvelles, je croyais qu’il t’était arrivé un truc.",Expression empathique; “-줄 알았다” = “je pensais que…”.
연락이 안 돼서 걱정했어요,pas de news donc j'etais inquiet,하루 종일 연락이 안 돼서 걱정했어.,J’ai stressé car je n’arrivais pas à te joindre.,Motif fréquent d’inquiétude ou d’explication d’un retard.
날,jour (abréviation de “날짜/날”),청소하기로 한 날 잊었지?,"Tu as oublié le jour où on devait nettoyer, hein ?",Registre familier; s’emploie souvent avec un déterminant: “-하기로 한 날”.
청소하기로 한 날,le jour prévu pour le ménage,청소하기로 한 날에 못 갔어.,Je n’ai pas pu venir le jour prévu pour le ménage.,Construction “-기로 하다” = décision/prévision. Met l’accent sur l’engagement initial.
발표,présentation (orale),내일 수업에서 발표가 있어요.,J’ai une présentation demain en cours.,"Université/entreprise. Collocations: 발표 자료, 발표를 하다."
보고서,rapport,보고서를 오늘까지 제출하세요.,Rendez le rapport pour aujourd’hui.,Document écrit formel (travail/études). Verbe: 제출하다 (soumettre).
세미나,séminaire,주말에 학회 세미나가 있어요.,Il y a un séminaire d’association ce week-end.,Réunion académique/pro. Peut être interne (소규모) ou public.
자료,"document(s), support",발표 자료를 이메일로 보냈어요.,J’ai envoyé les supports de présentation par mail.,"Terme générique pour fichiers, slides, données."
짐,"affaires, bagages",짐이 많아서 택시 탔어요.,"J’avais trop d’affaires, j’ai pris un taxi.","Objets à transporter (déménagement, voyage)."
짐을 싸다,faire ses bagages,내일 떠나서 오늘 짐을 싸요.,"Je fais ma valise aujourd’hui, je pars demain.",Action de préparer ses affaires (voyage/déplacement).
후문,porte arrière (entrée secondaire),후문에서 만나자.,On se retrouve à l’entrée arrière.,Opposé: 정문 (porte principale). Souvent sur campus/complexe.
걸레질하다,passer la serpillière,바닥을 걸레질했어요.,J’ai passé la serpillière au sol.,Ménage humide; verbe naturel du quotidien.
세탁기를 돌리다,faire tourner la machine,세탁기를 돌려 놓고 나왔어요.,J’ai lancé une machine avant de sortir.,Expression fixe pour lancer un cycle de machine à laver.
정신이 없다,"être débordé, la tête ailleurs",요즘 정신이 없어요.,En ce moment je suis débordé.,"Très courant pour expliquer un oubli/retard; pas forcément négatif, juste surmenage."
동창,ancien camarade de classe,동창을 우연히 만났어요.,J’ai croisé un ancien camarade par hasard.,Personne ayant fréquenté la même école (même promo).
동창회,réunion d’anciens élèves,이번 주말에 동창회가 있어요.,J’ai une réunion d’anciens ce week-end.,Événement social de retrouvailles; souvent dîner/soirée.
길이 막히다,avoir des bouchons (voiture),,,
환자,patient,환자를 돌봐야 해요.,Je dois m’occuper d’un patient.,Contexte médical/hospitalier; opposé à 의료진 (personnel soignant).
돌보다,"s’occuper de, prendre soin de",아픈 엄마를 돌봤어요.,Je me suis occupé de ma mère malade.,"Soins attentifs (enfant, malade, animal). Synonyme: 보살피다 (plus soutenu)."
키우다,"élever, éduquer; élever (animal/plante)",강아지를 키워요.,J’élève un chiot.,"Large: enfants, animaux, plantes, compétences (실력을 키우다)."
갑자기,soudain,갑자기 비가 내렸어요.,Il s’est mis à pleuvoir soudainement.,Adverbe de survenue imprévue; dramatise un récit.
문자 메시지,"SMS, message texte",문자 메시지로 보내 줄게요.,Je te l’enverrai par SMS.,Communication brève; verbe: 문자를 보내다/받다.
그랬으면 좋겠다.,j’aimerais bien que ce soit comme ça,내일 비 안 왔으면 좋겠어.,J’aimerais qu’il ne pleuve pas demain.,Structure de souhait: -았/었으면 좋겠다 (souhait irréel/probable).
지금 가고 있는 중이야.,je suis en train d’y aller,지금 가고 있는 중이야. 10분 후 도착해.,Je suis en route. J’arrive dans 10 minutes.,Construction progressive: V-는 중이다 = “être en train de”. Registre familier ici.
상황,"situation, contexte",상황을 먼저 파악합시다.,Comprenons d’abord la situation.,Terme neutre pour l’état des choses; utile en gestion de projet.
깨닫다,"réaliser, prendre conscience",그때 큰 실수를 깨달았어요.,J’ai réalisé alors ma grosse erreur.,“Prise de conscience” souvent après un événement marquant.
두리번거리다,regarder autour de soi (en quête),지갑을 잃어버려서 두리번거렸어요.,J’ai cherché partout du regard mon portefeuille.,Mouvement répétitif des yeux/tête; suggère nervosité/recherche.
웃다,"rire, sourire",농담에 다 같이 웃었어요.,On a tous ri à la blague.,Verbe de base; souriant/gai. Nom: 웃음 (rire).
귀엽다,être mignon,강아지가 정말 귀여워요.,Le chiot est trop mignon.,Appréciation affective (personnes/objets/gestes).
부끄럽다,être timide / avoir honte,사람 많아서 좀 부끄러워요.,Je suis un peu gêné devant la foule.,Double sens: timidité (innocente) ou honte (faute). Contexte clarifie.
억지로,"de force, à contrecœur",억지로 가지 마.,N’y va pas à contrecœur.,Marque contrainte; nuance négative (sans envie).
종종,"parfois, souvent",종종 연락해.,Donne des nouvelles de temps en temps.,Fréquence occasionnelle mais régulière (entre “parfois” et “souvent”).
한참,un bon moment (longtemps),한참을 기다렸어요.,J’ai attendu un bon moment.,Indique une durée sensiblement longue.
어느 날,un jour (un certain jour),어느 날 갑자기 연락이 왔어요.,"Un jour, j’ai reçu un message soudainement.",Ouverture de récit/roman; crée une attente narrative.
,,,,
7과,,,,
강의,cours magistral (leçon),오늘 강의가 취소됐어요.,Le cours d’aujourd’hui est annulé.,Cours à l’université; verbe: 강의를 듣다/하다.
성적,"notes, résultats",이번 학기 성적이 좋아요.,Mes notes de ce semestre sont bonnes.,Bulletin universitaire; 성적표 = relevé.
성적을 잘 받다,recevoir de bonnes notes,열심히 해서 성적을 잘 받았어요.,J’ai eu de bonnes notes en travaillant dur.,Expression fixe pour les résultats académiques.
수료하다,achever (un cursus/certificat),교육 과정을 수료했어요.,J’ai achevé la formation.,"Diplôme d’achèvement, pas une “graduation” complète."
