한글,French,Example Sentence,Translated Sentence,Explanation
정치가,politician,그는 유명한 정치가였어요.,C'était un homme politique célèbre.,Personne engagée dans la gestion des affaires publiques. Connotation plus noble que 정치인 (neutre).
현금 인출기,automatic teller machine (ATM),현금 인출기에서 돈을 뽑았어요.,J'ai retiré de l'argent au distributeur.,"현금 = liquide + 인출 = retrait + 기 = machine. Aussi appelé ATM (에이티엠) en konglish."
유학,Confucianism,조선 시대에는 유학이 매우 중요했어요.,Le confucianisme était très important durant la période Joseon.,"儒學. Philosophie de Confucius ayant profondément façonné la société coréenne (hiérarchie, respect des aînés)."
열정적이다,to be passionate,그 선생님은 정말 열정적이에요.,Ce professeur est vraiment passionné.,"열정 (passion) + 적 (suffixe adjectival). Qualité admirée chez les leaders et enseignants."
-에 힘을 다하다,"to devote one's energy to, to dedicate oneself to",과학 연구에 힘을 다했어요.,Il a consacré toute son énergie à la recherche scientifique.,"Expression de dévouement total. 힘 = force/énergie + 다하다 = épuiser/donner tout."
시각 자료,visual aid (used in a presentation or lecture),시각 자료를 미리 준비해 오세요.,Préparez les supports visuels à l'avance.,Rappel important : les supports visuels doivent être préparés avant l'exposé pour un résultat professionnel.
제자,"pupil, student, disciple",공자의 제자들이 유학을 전파했어요.,Les disciples de Confucius ont propagé le confucianisme.,"弟子. Relation maître-élève très respectée en Corée, impliquant un lien profond d'apprentissage."
슬라이드,slide (in a presentation),슬라이드에 글자를 너무 많이 넣지 마세요.,Ne mettez pas trop de texte sur les diapositives.,Emprunt de l'anglais. Page individuelle d'une présentation PowerPoint ou similaire.
발명,invention (of a new device),한글은 세종대왕의 위대한 발명이에요.,Le hangeul est la grande invention du roi Sejong.,"發明. 발 = produire + 명 = clarté. Création d'un nouvel objet ou système inédit."
팥빙수,"red beans over shaved ice, a popular summe treat",여름에는 팥빙수가 최고예요.,"En été, le patbingsu est ce qu'il y a de mieux.","Dessert coréen estival : glace pilée + haricots rouges sucrés + garnitures (떡, fruits, lait condensé)."
정치,politics,정치에 관심이 있어요?,Vous vous intéressez à la politique ?,政治. Domaine de la gestion des affaires publiques et du pouvoir. Sujet fréquent de discussion en Corée.
붕어빵,"carp bread, a fish-shaped pastry filled with red beans",겨울에 길거리에서 붕어빵을 사 먹어요.,"En hiver, on achète des bungeoppang dans la rue.","Pâtisserie en forme de poisson, fourrée aux haricots rouges. Snack hivernal emblématique de la street food coréenne."
경제,economy,한국 경제가 빠르게 성장했어요.,L'économie coréenne a connu une croissance rapide.,經濟. Système de production et d'échange de biens/services. La Corée = « miracle du fleuve Han ».
떠오르다,to come to mind,한국 하면 김치가 떠올라요.,"Quand on pense à la Corée, le kimchi vient à l'esprit.","떠 = flotter + 오르다 = monter. Image d'une idée qui « remonte à la surface » de la conscience."
과학,science,세종대왕은 과학 발전에도 큰 관심을 가졌어요.,Le roi Sejong s'intéressait aussi beaucoup au progrès scientifique.,科學. Ensemble des connaissances obtenues par l'observation et le raisonnement systématique.
길거리,street,길거리 음식을 좋아해요.,J'aime la nourriture de rue.,"길 (chemin) + 거리 (rue). Désigne les rues commerçantes animées, souvent associé à la street food."
예슬,art,한국의 전통 예술이 아름다워요.,L'art traditionnel coréen est magnifique.,"藝術 (예술). Ensemble des créations humaines à visée esthétique (peinture, musique, danse)."
산적,Korean shish kebab,명절에 산적을 만들어 먹어요.,On prépare des sanjeok lors des fêtes traditionnelles.,"Brochettes de viande et légumes sur des pics, plat traditionnel des fêtes coréennes (추석, 설날)."
모든 면에서,"in every area, on every side",세종대왕은 모든 면에서 뛰어난 왕이었어요.,Le roi Sejong était un roi remarquable à tous les égards.,"모든 = tous + 면 = aspect/côté + 에서 = dans. Expression de totalité, sans aucune exception."
(재료를) 꼬치에 끼우다,to put (ingredients) on a skewer,재료를 꼬치에 끼워서 구워요.,On enfile les ingrédients sur une brochette et on les grille.,"꼬치 = brochette/pic + 끼우다 = insérer/enfiler. Geste culinaire de base pour les grillades coréennes."
업적을 남기다,to leave behind lasting achievements,세종대왕은 많은 업적을 남겼어요.,Le roi Sejong a laissé de nombreuses réalisations.,"업적 = accomplissement + 남기다 = laisser derrière soi. S'utilise pour les contributions durables d'une personne."
구워 먹다,"to grill (and eat), to roast",고기를 구워 먹었어요.,On a grillé et mangé de la viande.,"Structure V1-어 V2 indiquant la séquence des actions. 굽다 (griller) + 먹다 (manger)."
지폐,"paper money, bill",만 원짜리 지폐에 세종대왕이 있어요.,Le roi Sejong figure sur le billet de 10 000 wons.,"紙幣. Les billets coréens portent des figures historiques : 세종, 이이, 이황, 신사임당."
궁중 떡볶이,palace-style stir-fried rice cake,궁중 떡볶이는 맵지 않아요.,Le tteokbokki royal n'est pas épicé.,"Version originale servie à la cour royale, à base de sauce soja (간장). Contrairement à la version moderne épicée (고추장)."
존경하다,"to respect, to admire",한국 사람들은 세종대왕을 존경해요.,Les Coréens respectent le roi Sejong.,"尊敬. Admiration profonde pour les qualités/actions de quelqu'un. Plus fort que 존중하다 (respecter les droits)."
조선 시대,the Joseon period,조선 시대는 약 500년 동안 이어졌어요.,La période Joseon a duré environ 500 ans.,"Dynastie coréenne (1392-1897). Époque de grande influence confucéenne et d'invention du hangeul."
인물,"character, historical figure",한국 역사에서 중요한 인물이 많아요.,Il y a beaucoup de personnages importants dans l'histoire coréenne.,"人物. Personne remarquable dans un contexte historique, littéraire ou médiatique."
왕,king,세종대왕은 조선의 네 번째 왕이었어요.,Le roi Sejong était le quatrième roi de Joseon.,"王. Souverain d'un royaume. Les rois de Joseon sont bien connus et étudiés à l'école en Corée."
공통점,something in common,두 사람의 공통점이 뭐예요?,Qu'est-ce que ces deux personnes ont en commun ?,"共通點. 공통 = commun + 점 = point. Antonyme : 차이점 (différence)."
양반,"Yangban, the upper class during the Joseon period",조선 시대에 양반은 학문을 중시했어요.,"Durant Joseon, les yangban accordaient une grande importance aux études.","Classe aristocratique lettrée de la période Joseon. Dirigeaient la société. Système de castes strict."
학문,"learning, one's studies",세종대왕은 학문을 매우 사랑했어요.,Le roi Sejong aimait profondément le savoir.,"學問. Savoir académique approfondi. Plus noble et formel que 공부 (études quotidiennes)."
뿐만 아니라,in addition,한글뿐만 아니라 과학도 발전시켰어요.,"Il n'a pas seulement développé le hangeul, mais aussi les sciences.","Connecteur logique : « non seulement... mais aussi ». Structure : N + 뿐만 아니라."
연구하다,"to research, to study",한국어를 연구하는 학자가 많아요.,Il y a beaucoup de chercheurs qui étudient le coréen.,研究. Investigation systématique et approfondie. Plus formel et académique que 공부하다.
끓이다,"to boil (water or soup, for example)",물을 끓여서 라면을 넣었어요.,J'ai fait bouillir l'eau et j'ai mis les ramens.,"Forme causative : faire bouillir un liquide. À distinguer de 끓다 (bouillir, intransitif)."
의복 문화,"traditional attire (literally, ""clothing culture"")",한국의 의복 문화를 소개해 주세요.,Présentez-nous la culture vestimentaire coréenne.,"衣服文化. Traditions liées aux vêtements (한복, etc.). Reflet de la hiérarchie sociale sous Joseon."
(사람들이) 신기해하다,(people) are amazed,외국인들이 한글을 보고 신기해해요.,Les étrangers sont émerveillés en voyant le hangeul.,"Émerveillement mêlé de curiosité devant quelque chose d'inhabituel. 신기하다 = être étonnant/fascinant."
신분,one's social status,조선 시대에는 신분에 따라 옷이 달랐어요.,Sous Joseon les vêtements variaient selon le statut social.,"身分. Position dans la hiérarchie sociale. Sous Joseon : 양반, 중인, 상민, 천민."
썰다,"to chop, to cut (when cooking)",양파를 잘게 썰어 주세요.,"Hachez finement l'oignon, s'il vous plaît.","Verbe culinaire pour couper en morceaux. Conjugaison irrégulière : 썰다 → 썰어요."
역할,"role, part",한글은 한국 문화에서 중요한 역할을 해요.,Le hangeul joue un rôle important dans la culture coréenne.,"役割. Fonction ou responsabilité assignée. 역할을 하다 = jouer un rôle."
어묵,fish cake,어묵을 국물에 넣어서 끓여요.,On fait cuire le fishcake dans du bouillon.,"Pâte de poisson transformée, très populaire en street food (어묵탕) et dans les plats du quotidien."
관리,"bureaucrat, government official",조선 시대의 관리는 시험을 봐야 했어요.,Les fonctionnaires de Joseon devaient passer un examen.,"官吏. Fonctionnaire d'État. Sous Joseon, recrutés par le 과거 시험 (examen national)."
삶은 계란,boiled egg,떡볶이에 삶은 계란을 넣어 먹어요.,On ajoute des œufs durs dans le tteokbokki.,"삶다 (faire bouillir) + 계란 (œuf). Garniture classique de la street food coréenne."
숨은 그림,hidden picture,지폐 속에 숨은 그림이 있어요.,Il y a des images cachées dans les billets de banque.,"숨다 (se cacher) + 그림 (image). Dispositif anti-contrefaçon sur les billets ou jeu « cherchez et trouvez »."
(양념이) 걸쭉해지다,to thicken (when the seasoning is evenly distributed in a soup),양념이 걸쭉해질 때까지 볶아 주세요.,Faites revenir jusqu'à ce que la sauce épaississe.,"걸쭉하다 = être épais/consistant + -아/어지다 = devenir. Terme culinaire pour la réduction d'une sauce."
반짝이다,"to glitter, to sparkle",밤하늘에 별이 반짝이고 있어요.,Les étoiles scintillent dans le ciel nocturne.,Onomatopée visuelle (의태어). Décrit un éclat lumineux intermittent et délicat.
참깨,sesame seeds,마지막에 참깨를 뿌려 주세요.,Saupoudrez de graines de sésame à la fin.,"Ingrédient omniprésent en cuisine coréenne, utilisé comme garniture et dans l'huile de sésame (참기름)."
숫자,number,지폐에 있는 숫자를 확인하세요.,Vérifiez les numéros sur le billet.,數字. Chiffre ou nombre. Terme générique couvrant toute valeur numérique.
고춧가루,red pepper powder,고춧가루를 넣어야 매운 맛이 나요.,Il faut ajouter du piment en poudre pour que ce soit épicé.,"고추 (piment) + 가루 (poudre). Ingrédient essentiel du kimchi et de nombreux plats coréens."
태극 무늬,Taegeuk pattern (the circular object in the center of the Korean flag),한국 국기에는 태극 무늬가 있어요.,Le drapeau coréen comporte le motif Taegeuk.,"Symbole yin-yang coréen au centre du 태극기. Représente l'harmonie des forces opposées (음/양)."
평가하다,"to assess, to evaluate",발표를 공정하게 평가해 주세요.,Évaluez la présentation de manière équitable.,"評價. Juger la valeur/qualité selon des critères définis. Contexte académique et professionnel."
(빛에) 비추다,to shine a light on,지폐를 빛에 비추면 숨은 그림이 보여요.,"Si on expose le billet à la lumière, on voit les images cachées.",Projeter de la lumière sur un objet. Technique utilisée pour vérifier l'authenticité des billets.
발표 태도,attitude during the presentation,발표 태도도 평가에 포함돼요.,L'attitude lors de la présentation fait aussi partie de l'évaluation.,"발표 = présentation + 태도 = attitude/comportement. Inclut le regard, la posture et l'aisance."
돈을 들어서 비춰 보세요,Try holding the bill up to the light.,진짜인지 확인하려면 돈을 들어서 비춰 보세요.,"Pour vérifier si c'est vrai, tenez le billet face à la lumière.","Phrase pratique pour détecter les faux billets. 들다 = lever + 비추다 = éclairer + 보다 = regarder."
흥미롭다,"interesting, engaging",발표 내용이 매우 흥미로웠어요.,Le contenu de la présentation était très intéressant.,"興味 + 롭다. Plus soutenu que 재미있다. Intérêt intellectuel plutôt que simple divertissement."
위조 지폐,counterfeit currency,위조 지폐를 사용하면 범죄예요.,Utiliser de la fausse monnaie est un crime.,"偽造紙幣. 위조 = contrefaçon + 지폐 = billet. Problème de sécurité monétaire mondial."
눈을 맞추다,to make eye contact,발표할 때 청중과 눈을 맞추세요.,Faites un contact visuel avec le public lors de la présentation.,"눈 = yeux + 맞추다 = accorder/ajuster. Technique de communication essentielle en présentation."
방지하다,"to prevent, to stop (something from happening)",위조를 방지하기 위한 기술이에요.,C'est une technologie pour prévenir la contrefaçon.,防止. Empêcher qu'un événement indésirable ne se produise. Registre formel.
그러므로,"therefore, for that reason",연습이 중요합니다. 그러므로 매일 연습하세요.,"La pratique est importante. Par conséquent, pratiquez tous les jours.","Connecteur logique formel de conséquence. Plus soutenu que 그래서. Utilisé à l'écrit et en exposés."
관심 분야,area of interest,관심 분야가 뭐예요?,Quel est votre domaine d'intérêt ?,관심 = intérêt + 분야 = domaine. Question fréquente en entretien ou présentation personnelle.
수집하다,to collect (items or information),자료를 수집해서 발표를 준비했어요.,J'ai collecté des documents pour préparer la présentation.,收集. Rassembler méthodiquement des objets ou informations. Plus formel que 모으다.
설문 조사,"a survey, a poll",설문 조사를 통해 의견을 모았어요.,Nous avons recueilli les avis à travers un sondage.,設問調査. Méthode de recherche par questionnaire. Outil courant en sciences sociales et marketing.
동영상,video,발표에 동영상을 넣으면 좋아요.,C'est bien d'inclure une vidéo dans la présentation.,"動映像. 동 = mouvement + 영상 = image. Terme standard pour les vidéos numériques."
평가하다,"to assess, to evaluate",서로의 발표를 평가해 봅시다.,Évaluons les présentations les uns des autres.,"L'évaluation par les pairs (동료 평가) est une pratique courante en pédagogie coréenne."
,,,,
4과,,,,
상담실,"counselling room, consultation room",학교 상담실에 가서 선생님과 이야기했어요.,Je suis allé au bureau de conseil pour parler avec le professeur.,Espace dédié aux consultations personnelles ou professionnelles. Lieu de confidentialité et de soutien.
게시판에 글을 올리다,to post (something) on a message board,고민이 있어서 게시판에 글을 올렸어요.,J'avais un problème alors j'ai posté un message sur le tableau d'affichage.,Partager un texte sur un forum ou tableau en ligne. Action courante pour demander conseil ou partager des infos.
사연,"personal story, situation (often used in the media when someone sends in a personal story)",라디오에 사연을 보냈어요.,J'ai envoyé mon histoire personnelle à la radio.,Histoire personnelle touchante partagée avec un animateur ou un public. Souvent utilisé dans les émissions radio.
룸메이트,roommate,룸메이트와 사이좋게 지내고 있어요.,Je m'entends bien avec mon colocataire.,"Personne avec qui on partage une chambre ou un appartement. Emprunt de l'anglais « roommate »."
남,"someone else, other people (someone who is not part of one's immediate circle)",남의 일에 너무 신경 쓰지 마세요.,N'accordez pas trop d'attention aux affaires des autres.,Désigne une personne extérieure à soi ou à son groupe proche. S'oppose à 나 (moi) ou 우리 (nous).
자기,"oneself, one's own",자기 물건은 자기가 챙기세요.,Occupez-vous de vos propres affaires.,"Pronom réfléchi qui renvoie au sujet lui-même. Peut aussi servir de terme affectueux entre couples (« chéri(e) »)."
남의 것을 자기 것처럼 써요,(He) uses other people's things like (his) own,룸메이트가 남의 것을 자기 것처럼 써서 화가 나요.,Mon colocataire utilise les affaires des autres comme si c'était les siennes et ça m'énerve.,Expression pour décrire quelqu'un qui manque de respect envers les possessions d'autrui. Cause fréquente de conflits entre colocs.
-에 넣어 두다,to put in - (for future use),냉장고에 넣어 두면 신선해요.,Si vous le mettez au réfrigérateur ça reste frais.,"넣다 (mettre) + 두다 (laisser en place). La combinaison implique une action faite pour un usage futur."
날이 갈수록 더 심해지다,to get worse with each passing day,룸메이트 문제가 날이 갈수록 더 심해져요.,Le problème avec mon colocataire s'aggrave de jour en jour.,"날이 갈수록 = au fil des jours + 심해지다 = s'aggraver. Exprime une dégradation progressive."
사이가 불편해지다,the relationship becomes awkward or uncomfortable,그 일 이후로 사이가 불편해졌어요.,Depuis cet incident notre relation est devenue gênante.,사이 = relation/entre + 불편하다 = être gêné/mal à l'aise + -아/어지다 = devenir.
냉장고 칸을 나눠 쓰다,to use separate sections of the refrigerator,룸메이트와 냉장고 칸을 나눠 써요.,Je partage le réfrigérateur par sections avec mon colocataire.,Solution pratique pour éviter les conflits entre colocataires. Chacun a son espace désigné.
콩 한 쪽도 나눠 먹다,to share even a single bean (refers to the Korean tendency to view food and possessions as being the property of the community),진정한 친구는 콩 한 쪽도 나눠 먹어요.,Un vrai ami partage même son dernier haricot.,Proverbe coréen sur l'esprit de partage et la générosité en amitié. Valorise l'entraide collective.
인정이 없다,"to be heartless, to be unfeeling, to be cold hearted",그 사람은 인정이 없어서 도와주지 않았어요.,Cette personne est sans cœur et n'a pas aidé.,인정 = humanité/compassion + 없다 = ne pas avoir. Qualifie quelqu'un de froid et indifférent à la souffrance des autres.
얌체 같다,"to be selfish, to think only of oneself",저 사람은 얌체 같아요. 항상 혼자 챙겨요.,Cette personne est vraiment égoïste. Elle pense toujours à elle.,Expression familière et légèrement péjorative pour quelqu'un de profiteur et égocentrique.
이런저런,"various, all kinds of",이런저런 이유로 늦었어요.,Je suis en retard pour toutes sortes de raisons.,Expression vague pour mentionner plusieurs choses sans les détailler. Équivalent de « diverses raisons ».
핑계를 대다,to make excuses,또 핑계를 대고 있어요!,Il est encore en train de faire des excuses !,핑계 = excuse/prétexte + 대다 = avancer/présenter. Présenter une raison peu convaincante pour éviter une responsabilité.
일을 미루다,"to pass (one's work to someone else), to put off (something), to delay",숙제를 미루면 나중에 더 힘들어요.,Si vous repoussez les devoirs ce sera encore plus dur après.,미루다 = reporter/remettre à plus tard. Mauvaise habitude souvent associée à la procrastination.
불평하다,to complain,끊임없이 불평하는 사람은 피곤해요.,Les gens qui se plaignent sans cesse sont épuisants.,불평 = plainte/mécontentement + 하다. Exprimer son mécontentement de manière répétée et négative.
진짜 이해가 안 돼요,I really don't understand,그 사람 행동은 진짜 이해가 안 돼요.,Je ne comprends vraiment pas le comportement de cette personne.,진짜 = vraiment (renforce) + 이해가 안 되다 = ne pas comprendre. Expression de frustration ou d'incrédulité.
당장,"right away, at once",당장 방을 치워야 해요!,Il faut ranger la chambre tout de suite !,"당장 = immédiatement, sans délai. Indique l'urgence ou l'impatience."
노래 한 곡,one song,노래 한 곡만 들을게요.,Je vais juste écouter une chanson.,곡 est le compteur (classificateur) pour les chansons et morceaux musicaux en coréen.
소리를 줄이다,to turn down (the volume),밤늦게는 소리를 줄여 주세요.,"La nuit, baissez le volume s'il vous plaît.",소리 = son/volume + 줄이다 = réduire/diminuer. Expression très utile dans le contexte de la vie en appartement.
감동적이다,"to be touching, to be moving",그 영화는 정말 감동적이었어요.,Ce film était vraiment émouvant.,감동 = émotion profonde/être touché + 적이다. Qualifie quelque chose qui touche le cœur profondément.
장학금,"a financial scholarship, financial support",열심히 공부해서 장학금을 받았어요.,J'ai étudié dur et j'ai obtenu une bourse.,Aide financière accordée aux étudiants méritants ou dans le besoin. Très recherchée en Corée.
환경을 보호하다,to protect or preserve the environment,우리 모두 환경을 보호해야 해요.,Nous devons tous protéger l'environnement.,환경 = environnement + 보호하다 = protéger. Expression clé dans les campagnes écologiques coréennes.
아니긴 뭐가 아니야,Of course it is! (used to strongly contradict what someone else has said),그게 문제가 아니라고? 아니긴 뭐가 아니야!,Ce n'est pas un problème ? Bien sûr que si !,"Réfutation émotionnelle et directe. Littéralement : « Qu'est-ce qui n'est pas... ? » = bien sûr que si !"
얼굴에 고민이 있다고 쓰여 있어,"It's clear that you are struggling with something (""It's written on your face that you have a dilemma"")",얼굴에 고민이 있다고 쓰여 있어. 무슨 일이야?,Ton visage dit clairement que tu te poses des questions. Qu'est-ce qu'il se passe ?,Expression imagée et bienveillante pour remarquer qu'on voit la préoccupation de quelqu'un sur son visage.
반대하다,"to be against, to oppose (i.e.. someone's plans)",부모님이 내 계획에 반대하셨어요.,Mes parents se sont opposés à mon plan.,반대 = opposition/contraire + 하다. Exprimer son désaccord actif face à une décision ou projet.
안정된 생활을 하다,to have a stable lifestyle,취직 후에 안정된 생활을 하고 싶어요.,Après avoir trouvé un emploi je veux mener une vie stable.,안정되다 = être stable/sécurisé + 생활 = mode de vie. Aspiration très commune chez les jeunes coréens.
때로는,"sometimes, from time to time",때로는 혼자만의 시간이 필요해요.,Parfois on a besoin de temps pour soi.,"Adverbe de fréquence indiquant l'occasionnel, équivalent de « parfois » ou « de temps à autre »."
효과적이다,to be effective,이 방법이 가장 효과적이에요.,Cette méthode est la plus efficace.,효과 = effet/résultat + 적이다. Qualifie quelque chose qui produit les résultats attendus.
쑥스럽다,"to be shy, to feel uncomfortable",칭찬을 들으면 쑥스러워요.,Je deviens gêné quand on me fait des compliments.,"Sentiment de timidité ou de malaise, souvent dans des situations sociales. Plus doux que 부끄럽다."
성공하다,to succeed,열심히 노력하면 성공할 수 있어요.,Si on travaille dur on peut réussir.,성공 = succès + 하다. Atteindre un objectif important. Très valorisé dans la culture coréenne.
밥이나 사,Just by me a meal sometime (a way to respond to someone who is thanking you for doing them a favour),도와줘서 감사해요! - 괜찮아요. 나중에 밥이나 사.,Merci de m'avoir aidé ! - Pas de souci. Tu m'achètes à manger une prochaine fois.,Réponse coréenne classique pour minimiser un service rendu. Preuve de modestie et de convivialité.
문화 차이,cultural difference,룸메이트와 문화 차이로 오해가 생겼어요.,Des malentendus sont nés des différences culturelles avec mon colocataire.,문화 = culture + 차이 = différence. Concept clé pour comprendre les tensions entre personnes de pays différents.
존댓말을 쓰다,to use respectful or honorific language,처음 만난 사람에게는 존댓말을 써야 해요.,Il faut utiliser le langage respectueux avec les personnes qu'on rencontre pour la première fois.,존댓말 = langage honorifique coréen. Système linguistique qui reflète les relations sociales et l'âge.
도움이 되다,to be helpful,이 조언이 많은 도움이 됐어요.,Ce conseil a été très utile.,도움 = aide + 이 되다 = devenir/être. Exprimer que quelque chose a eu un effet bénéfique.
사연을 올리다,"to submit a story (to radio, TV, etc)",라디오에 사연을 올렸는데 방송됐어요.,J'ai envoyé mon histoire à la radio et elle a été diffusée.,올리다 = poster/soumettre + 사연 = histoire personnelle. Action de partager son vécu avec un large public médiatique.
챙겨 주다,to take good care of (a person),친구가 항상 저를 챙겨 줘요.,Mon ami prend toujours bien soin de moi.,챙기다 = s'occuper/veiller sur + -아/어 주다 = faire pour quelqu'un. Geste de sollicitude et d'attention envers l'autre.
심부름을 시키다,to have (someone) run an errand,자꾸 심부름을 시켜서 힘들어요.,Il m'envoie constamment faire des courses et c'est épuisant.,심부름 = commission/course + 시키다 = faire faire. Faire accomplir une tâche par quelqu'un d'autre.
힘들게 하다,to make things hard for (someone),왜 저를 힘들게 해요?,Pourquoi vous me compliquez la vie ?,힘들다 = être difficile/épuisant + -게 하다 = rendre/faire devenir. Exprimer qu'on est opprimé ou mis à rude épreuve.
심부름을 하다,to run an errand,매일 심부름을 해서 공부할 시간이 없어요.,Je fais des courses tous les jours et je n'ai plus de temps pour étudier.,심부름 = commission + 하다. Accomplir des petites tâches pour quelqu'un. Gestion courante du quotidien.
-기 어렵다,- to be difficult (to do something),혼자 하기 어려워요. 도와주세요.,C'est difficile à faire seul. Aidez-moi s'il vous plaît.,Structure grammaticale : base verbale + -기 어렵다. Exprime la difficulté d'une action.
든든하다,"to feel secure, to feel safe",친구가 옆에 있으면 든든해요.,Quand mon ami est à mes côtés je me sens en sécurité.,Sentiment de réconfort et de sécurité grâce à la présence ou au soutien de quelqu'un.
힘이 세다,to be strong (physically),그 사람은 힘이 정말 세요.,Cette personne est vraiment forte physiquement.,힘 = force/énergie + 세다 = être fort/puissant. Décrit la puissance physique d'une personne.
툭 치다,to tap or punch (i.e.. on the shoulder),친구가 어깨를 툭 쳤어요.,Mon ami m'a donné une tape sur l'épaule.,툭 = onomatopée d'un coup léger + 치다 = frapper. Geste affectueux ou pour attirer l'attention en Corée.
버릇,habit (not 습관),나쁜 버릇을 고쳐야 해요.,Il faut corriger les mauvaises habitudes.,"버릇 = habitude souvent négative ou involontaire, surtout comportementale. Différent de 습관 (habitude neutre ou positive)."
-에 멍이 들다,to be bruised on -,팔에 멍이 들었어요.,J'ai une bleu sur le bras.,멍 = bleu/hématome + 들다 = apparaître/se former. Résultat d'un choc physique sur la peau.
때리다,"to hit, to slap",때리는 것은 절대 안 돼요.,Frapper n'est absolument pas acceptable.,"Verbe général pour frapper quelqu'un. Peut désigner une gifle, un coup de poing, etc."
상사,"boss, superior (at work)",상사에게 보고해야 해요.,Je dois faire un rapport à mon supérieur.,Personne hiérarchiquement supérieure dans le cadre professionnel. Relation sociale très codifiée en Corée.
욕하다,"to curse, to use bad language, to speak badly of (someone)",화가 나도 욕하면 안 돼요.,Même en colère il ne faut pas insulter.,욕 = insulte/grossièreté + 하다. Utiliser un langage grossier ou médire de quelqu'un. Comportement socialement répréhensible.
술자리를 갖다,"to have a drinking party, to go out drinking (as a group)",금요일에 팀원들과 술자리를 가졌어요.,Vendredi nous avons organisé une soirée avec les membres de l'équipe.,술자리 = soirée arrosée + 갖다 = tenir/avoir. Pratique sociale très importante dans la culture professionnelle coréenne.
술자리 분위기가 좋다,the drinking party's atmosphere is good,오늘 술자리 분위기가 정말 좋네요.,L'ambiance de la soirée est vraiment bien ce soir.,분위기 = ambiance/atmosphère. Une bonne ambiance est essentielle pour les soirées de groupe en Corée.
어쩔 수 없이,"unavoidably, something cannot be helped",어쩔 수 없이 참석했어요.,J'ai participé sans vraiment pouvoir faire autrement.,"어쩌다 = que faire + 수 없이 = sans pouvoir. Exprimer qu'on n'avait pas le choix face à une situation."
권하다,"to recommend, to push (alcohol on someone)",술을 자꾸 권해서 거절하기 어려웠어요.,Il continuait à me proposer de l'alcool et c'était difficile de refuser.,"권하다 = recommander/proposer insistamment. Dans le contexte coréen, refuser plusieurs fois est mal perçu."
심리적인 특징,psychological characteristics,사람마다 심리적인 특징이 달라요.,Chaque personne a des caractéristiques psychologiques différentes.,심리적 = psychologique + 특징 = caractéristique/trait. Terme académique utilisé en sciences humaines.
-과 관련이 있다,"to be related to -, to be connected to -",이 현상은 문화와 관련이 있어요.,Ce phénomène est lié à la culture.,관련 = lien/rapport + 있다. Exprimer qu'il existe une connexion entre deux éléments.
인간 관계,"personal relationships, relationships with others",좋은 인간 관계를 유지하는 게 중요해요.,Il est important de maintenir de bonnes relations humaines.,인간 = être humain + 관계 = relation. Terme global pour toutes les interactions sociales interpersonnelles.
단결,"solidarity, unity (especially that shared by a group)",팀의 단결이 성공의 열쇠예요.,La solidarité de l'équipe est la clé du succès.,"단결 = cohésion/union. Valeur collective très appréciée en Corée, surtout en contexte de groupe ou d'entreprise."
기회가 많다,there are many opportunities (to do something),한국에서는 네트워킹 기회가 많아요.,Il y a beaucoup d'opportunités de networking en Corée.,기회 = opportunité/occasion + 많다 = être nombreux. Exprimer l'abondance de possibilités dans un domaine.
지위,"position, rank, status",회사에서 지위가 높아졌어요.,Mon statut dans l'entreprise a augmenté.,Rang que l'on occupe dans une hiérarchie sociale ou professionnelle. Très important en société coréenne.
평소,"usually, normally",평소에는 조용한 사람이에요.,D'habitude c'est quelqu'un de calme.,Désigne le comportement ou l'état habituel dans les circonstances normales. Équivalent de « en temps normal ».
줄어들다,to decrease,요즘 혼밥하는 사람이 늘고 술자리는 줄어들어요.,"Ces jours-ci, de plus en plus de gens mangent seuls et les soirées diminuent.",줄다 (diminuer) + 들다 (entrer/commencer). Indique une réduction progressive et continue.
개인적으로,"on a personal level, personally",개인적으로 이 의견에 동의해요.,Personnellement je suis d'accord avec cette opinion.,개인 = individu + 적으로 = de manière. Marque qu'on donne son point de vue subjectif.
최근,"recently, lately",최근에 한국 드라마가 세계적으로 인기예요.,"Ces derniers temps, les dramas coréens sont populaires dans le monde entier.",최근 = période récente + 에. Adverbe de temps désignant une époque proche du présent.
늘다,to increase,운동 후에 식욕이 늘었어요.,Après l'exercice mon appétit a augmenté.,Verbe intransitif signifiant augmenter/grandir. Antonyme de 줄어들다. S'utilise pour quantités et aptitudes.
,,,,
5과,,,,
다른 게 아니고 좀 물어볼 게 있어서,The thing is I have something to ask you,다른 게 아니고 좀 물어볼 게 있어서 연락했어요.,Je t'ai contacté parce que j'ai quelque chose à te demander.,Expression pour introduire poliment une demande sans passer pour trop direct. 다른 게 아니고 = ce n'est pas autre chose.
방면,"toward, in the direction of (i.e.. the endpoint of a subway line)",이 버스는 강남 방면이에요?,Ce bus va bien vers Gangnam ?,"방면 = direction/côté. Utilisé surtout dans les annonces de métro et bus : « 2호선 강남 방면 »."
2번 출구로 나가다,to go out exit 2,2번 출구로 나가면 바로 보여요.,Si vous sortez par la sortie 2 vous le verrez tout de suite.,출구 = sortie + 번 = numéro. Informations essentielles pour se repérer dans le métro coréen.
나간 방향으로 가다,to go in the direction you came out (of the subway),나간 방향으로 쭉 가세요.,Continuez tout droit dans la direction où vous êtes sorti.,Instruction simple pour guider quelqu'un depuis une sortie de métro ou de bâtiment.
