한글,French,Example Sentence,Translated Sentence,Explanation
하숙비,frais de pension,한 달 하숙비는 60만 원이에요.,Les frais de pension pour un mois sont de 600 000 wons.,Le coût de la location d'une chambre en 하숙집 (boarding house fee).
요금,tarif / facture,이번 달 전기 요금이 많이 나왔어요.,La facture d'électricité de ce mois-ci est élevée.,"Terme général pour les frais de services (fee, rate, charge), souvent pour des consommations mesurées."
가스 요금,facture de gaz,겨울에는 가스 요금이 많이 나와요.,"En hiver, la facture de gaz est élevée.",Gas bill.
수도 요금,facture d'eau,샤워를 오래 해서 수도 요금이 걱정돼요.,Je m'inquiète pour la facture d'eau car j'ai pris une longue douche.,Water bill.
전기 요금,facture d'électricité,에어컨 때문에 전기 요금이 많이 나왔어요.,La facture d'électricité est élevée à cause de la climatisation.,Electricity bill.
정도,environ / degré,집에서 학교까지 30분 정도 걸려요.,"De la maison à l'école, ça prend environ 30 minutes.","Utilisé pour donner une approximation (approximately, about) ou pour parler d'un niveau (degree, extent)."
추첨,tirage au sort,기숙사는 인기가 많아서 추첨을 해요.,"Le dortoir est très populaire, donc ils font un tirage au sort.","Loterie ou tirage au sort (lottery, drawing) utilisé quand la demande dépasse l'offre."
운영하다,gérer / exploiter,이 하숙집은 할머니 혼자 운영하세요.,C'est une grand-mère qui gère cette pension toute seule.,"Faire fonctionner et administrer une entreprise, un service ou une installation (to operate, to run)."
(-이/가) 포함되다,être inclus,관리비에 인터넷 요금이 포함되어 있어요.,La facture internet est incluse dans les charges.,Indique que quelque chose fait partie d'un tout (to be included).
각각,chacun / respectivement,방세는 각각 30만 원씩 내요.,Nous payons 300 000 wons chacun pour le loyer.,"Adverbe signifiant que chaque personne ou chose est traitée individuellement (each, respectively)."
따로,séparément,식사비는 따로 내야 해요.,Il faut payer les frais de repas séparément.,"Adverbe qui indique que quelque chose est fait à part, non inclus (separately)."
미리,à l'avance,이사하기 전에 미리 청소했어요.,J'ai nettoyé à l'avance avant de déménager.,"Adverbe signifiant qu'une action est faite avant le moment prévu (in advance, beforehand)."
2인 1실,chambre pour deux personnes,기숙사는 보통 2인 1실이에요.,Les dortoirs sont généralement des chambres pour deux.,"2 personnes, 1 chambre. Décrit une chambre double (double-occupancy room)."
추첨에서 떨어지다,ne pas être tiré au sort,기숙사 추첨에서 떨어져서 실망했어요.,J'ai été déçu(e) de ne pas avoir été sélectionné(e) au tirage au sort du dortoir.,"Expression signifiant ""échouer"" ou ""ne pas être sélectionné"" lors d'un tirage au sort."
여러분께 도움이 되면 좋겠습니다.,J'espère que cela vous sera utile.,제가 정리한 정보가 여러분께 도움이 되면 좋겠습니다.,J'espère que les informations que j'ai organisées vous seront utiles.,Phrase de conclusion polie pour exprimer le souhait que son travail ou ses explications aident les autres.
4과,,,,
결혼식,cérémonie de mariage,결혼식에 초대받았어요.,J’ai été invité au mariage.,"La cérémonie officielle où le couple se marie. Inclut souvent des rituels, discours, photos, puis un repas."
결혼식장,salle de mariage,결혼식장은 3층이에요.,La salle de mariage est au 3e étage.,"Lieu où se tient la cérémonie (wedding hall). En Corée, souvent des complexes dédiés aux mariages."
박수를 치다,applaudir,신랑신부 입장 때 박수를 쳐 주세요.,Veuillez applaudir à l’entrée des mariés.,"Geste de félicitation pendant la cérémonie, à l’entrée, aux vœux, etc."
봉투,enveloppe,축의금을 봉투에 넣었어요.,J’ai mis l’argent du cadeau dans une enveloppe.,"Enveloppe pour offrir de l’argent (cadeau) au mariage, avec nom du donateur."
부케를 던지다,lancer le bouquet,신부가 부케를 던졌어요.,La mariée a lancé le bouquet.,Tradition où la mariée jette le bouquet à des invitées célibataires. Symbole de chance pour le prochain mariage.
(-이/가) 시집가다,se marier (femme → va chez le mari),언니가 다음 달에 시집가요.,Ma grande sœur se marie le mois prochain.,Verbe traditionnel pour une femme qui se marie. Nuance patriarcale “aller dans la maison du mari”.
(-이/가) 장가가다,se marier (homme),오빠가 올해 장가가요.,Mon grand frère se marie cette année.,"Verbe traditionnel pour un homme qui se marie. Aujourd’hui, on utilise aussi 결혼하다 (neutre)."
신랑,marié (groom),오늘 신랑 정말 멋지네요.,Le marié est vraiment élégant aujourd’hui.,Le fiancé pendant la cérémonie. Utilisé avec 신부 (mariée).
신부,mariée (bride),신부가 너무 예뻐요.,La mariée est magnifique.,La fiancée pendant la cérémonie. Paire: 신랑.
축의금,don d’argent (mariage),축의금을 내고 방명록에 이름을 적었어요.,J’ai donné le don et signé le livre d’or.,Argent offert pour féliciter un mariage. Se met dans un 봉투 et se remet à l’accueil.
피로연,réception (après cérémonie),피로연에서 식사를 했어요.,Nous avons dîné à la réception.,Repas/banquet pour remercier les invités après la cérémonie.
피로연장,salle de réception,피로연장은 결혼식장 옆이에요.,La salle de réception est à côté.,Espace où se tient le banquet post‑cérémonie.
장례식,funérailles,장례식에 다녀왔어요.,Je suis allé aux funérailles.,Cérémonie pour rendre hommage au défunt. En Corée: protocole et codes vestimentaires sobres.
장례식장,funérarium / salle des funérailles,장례식장은 병원 건물에 있어요.,Le funérarium est dans l’hôpital.,Lieu où l’on présente ses condoléances et où se tient la veillée.
빈소,salle ardente (chapelle ardente),빈소가 어디인지 안내받으세요.,Demandez l’emplacement de la salle ardente.,Pièce où est installé l’autel du défunt pour les condoléances.
영정,photo du défunt (portrait),영정 앞에 절을 했어요.,J’ai salué devant la photo du défunt.,Portrait encadré placé sur l’autel des funérailles.
위로하다,consoler,유가족을 위로했습니다.,J’ai présenté mes condoléances à la famille.,Exprimer soutien et réconfort aux proches endeuillés.
절을 하다,faire une révérence,어른께 절을 했어요.,J’ai fait une révérence à l’aîné.,Salutation traditionnelle (bow profond). Aux funérailles ou lors des salutations formelles.
조의금,don d’argent (condoléances),조의금을 봉투에 담았어요.,J’ai mis l’argent de condoléances dans une enveloppe.,Argent offert à la famille du défunt pour aider aux frais et exprimer sa sympathie.
향을 피우다,allumer de l’encens,향을 피우고 묵념했습니다.,J’ai allumé de l’encens et observé un moment de silence.,Rituel aux funérailles: encens devant l’autel puis révérence.
방문하다,rendre visite,내일 교수님 연구실을 방문할 예정이에요.,Je prévois de rendre visite au labo du professeur demain.,Visiter un lieu/personne de façon formelle ou informelle.
손님을 맞다,accueillir des invités,명절에 손님을 맞을 준비를 했어요.,J’ai préparé l’accueil des invités pour la fête.,Recevoir et accueillir des visiteurs chez soi ou dans un établissement.
김 부장님을 뵈러 왔는데요.,Je suis venu voir le chef Kim.,김 부장님을 뵈러 왔는데요.,"Je suis venu rencontrer M. Kim, chef de service.",Formule très polie avec 뵙다 (voir honorifique) pour annoncer la personne que l’on vient voir.
무슨 일로 오셨습니까?,Pour quel motif êtes‑vous venu ?,무슨 일로 오셨습니까?,Quel est l’objet de votre visite ?,Formule polie standard en réception/accueil pour demander la raison de la visite.
지금 자리에 안 계신데요.,Il n’est pas à son poste en ce moment.,지금 자리에 안 계신데요.,Il est absent de son bureau pour l’instant.,Formule polie pour informer de l’absence temporaire d’une personne.
뭐 마실 것 좀 드릴까요?,Voulez‑vous boire quelque chose ?,뭐 마실 것 좀 드릴까요?,Puis‑je vous offrir à boire ?,Offre polie (hospitalité) à un visiteur/cliente.
뭐 이런 걸 다 사 오셨어요?,Il ne fallait pas !,뭐 이런 걸 다 사 오셨어요? 감사합니다.,"Oh, vous n’auriez pas dû ! Merci.",Expression polie quand un invité apporte un cadeau; modestie culturelle.
별거 아니에요.,Ce n’est rien.,별거 아니에요. 그냥 작은 선물이에요.,"Ce n’est pas grand‑chose, juste un petit cadeau.",Réponse modeste de la personne qui offre un présent.
조심해서 가세요.,Rentrez prudemment.,늦었네요. 조심해서 가세요.,Il se fait tard. Rentrer prudemment.,Formule de départ polie pour souhaiter un retour en sécurité.
댁,maison (honorifique),선생님 댁은 어디세요?,Où est la maison du professeur ?,Forme honorifique de 집 pour parler du domicile d’autrui avec respect.
떡국,soupe de gâteau de riz,설날에 떡국을 먹어요.,On mange du tteokguk au Nouvel An lunaire.,Plat traditionnel du Nouvel An (symbolise “prendre un an”).
세뱃돈,argent donné au Nouvel An,아이들에게 세뱃돈을 줬어요.,J’ai donné de l’argent du Nouvel An aux enfants.,Argent offert après la salutation traditionnelle (세배) aux aînés.
연휴,pont / jours fériés consécutifs,이번 추석 연휴는 길어요.,Le pont de Chuseok est long cette année.,Plusieurs jours fériés à la suite; période de déplacements familiaux.
윷놀이,jeu de yut (traditionnel),가족과 윷놀이를 했어요.,On a joué à Yut avec la famille.,Jeu de société traditionnel joué notamment pendant les fêtes.
세배를 드리다,faire la salutation du Nouvel An,어른들께 세배를 드렸어요.,Nous avons fait la salutation du Nouvel An aux aînés.,Révérence profonde pour souhaiter la bonne année aux aînés; forme honorifique 드리다.
초대하다,inviter,회의에 초대해 주셔서 감사합니다.,Merci de m’avoir invité à la réunion.,Invitation à évènement/réunion/repas.
새해 복 많이 받으세요.,Bonne année !,새해 복 많이 받으세요!,"Bonne année, plein de bonheur !","Vœux standard du Nouvel An, très utilisé dans les messages/coups de fil."
교수님,professeur (honorifique),교수님을 연구실에서 뵈었어요.,J’ai rencontré le professeur au labo.,Titre honorifique pour s’adresser à un professeur d’université.
부장님,chef de service (honorifique),"부장님, 보고 드리겠습니다.","Chef, je vous ferai un rapport.",Titre honorifique pour un manager (부장). Ajout de 님 = respect.
연구실,laboratoire / bureau de recherche universitaire,연구실에 방문해도 될까요?,Puis‑je passer au laboratoire ?,Bureau/lab d’un prof ou d’une équipe de recherche à l’université.
환송회,pot de départ (farewell party),동료 환송회를 열었어요.,On a organisé un pot de départ pour un collègue.,"Fête pour dire au revoir à quelqu’un qui part (mutation, départ)."
뵈다,voir (honorifique de 보다),내일 회장님을 뵐 예정입니다.,Je verrai le président demain.,Forme humble/honorifique quand on parle de “voir” une personne à respecter.
칭찬하다,complimenter,직원들을 칭찬했어요.,J’ai complimenté les employés.,"Faire des éloges, reconnaître un bon travail."
검은색,noir (couleur),검은색 정장을 입었어요.,J’ai mis un costume noir.,"Couleur noire; appropriée pour funérailles, formelle et sobre."
흰색,blanc (couleur),흰색 와이셔츠를 준비하세요.,Préparez une chemise blanche.,"Couleur blanche; chemise formelle, symbolique de pureté; funérailles: noir et blanc."
대기실,salle d’attente,신랑신부 대기실은 오른쪽입니다.,La salle d’attente des mariés est à droite.,Espace pour patienter avant une cérémonie ou un rendez‑vous.
띠,ceinture / signe zodiacal,검은 띠를 매세요.,Mettez une ceinture noire.,"Objet “ceinture” (belt) ou signe zodiacal chinois selon contexte; ici, surtout la ceinture vêtement."
와이셔츠,chemise (dress shirt),흰색 와이셔츠가 필요해요.,Il me faut une chemise blanche.,"Chemise de ville, portée avec costume. Terme d’origine japonaise (white shirt → 와이셔츠)."
정장,costume / tenue formelle,결혼식에는 정장을 입으세요.,Mettez une tenue formelle pour le mariage.,Tenue formelle (suit). Noir/gris/bleu marine selon l’événement; funérailles: sombre.
주의하다,faire attention,예절에 주의하세요.,Faites attention à l’étiquette.,"Avertissement/consigne pour agir prudemment, respecter les règles."
어둡다,être sombre,색이 너무 어두워요.,La couleur est trop sombre.,Pour couleur/lumière; tons sombres appropriés aux funérailles.
진하다,être foncé / intense,메이크업이 좀 진하네요.,Le maquillage est un peu chargé.,"Couleur/maquillage/goût “fort, intense, foncé”."
진하게,de façon foncée / intense,커피는 진하게 마셔요.,Je bois le café serré.,"Adverbe dérivé de 진하다; qualifier l’intensité (couleur, goût, maquillage)."
말없이,sans parler,말없이 자리를 떴어요.,Il est parti sans dire un mot.,"Manière silencieuse, sans paroles; convenable dans certains contextes solennels."
수업 중,en cours (pendant le cours),지금 수업 중입니다.,Je suis en cours.,“En plein cours” affiché sur la porte/écran; évite d’interrompre. Forme fixe “N 중”.
식사 중,en train de manger,지금 식사 중이세요.,Il est en train de manger.,Indique qu’une personne déjeune; à l’accueil: personne indisponible.
외출 중,en sortie (hors du bureau),부장님은 외출 중이세요.,Le chef est sorti.,Personne momentanément hors du bureau; panneau standard au travail.
회의 중,en réunion,지금 회의 중입니다.,Nous sommes en réunion.,Occupé en réunion; souvent affiché pour éviter les interruptions.
이야기를 나누다,échanger / discuter,오랜만에 친구와 이야기를 나눴어요.,J’ai discuté avec un ami après longtemps.,"Avoir une conversation mutuelle, partager des nouvelles."
가까운 사이,relation proche / intime,우리는 꽤 가까운 사이예요.,Nous sommes assez proches.,"Relation de confiance/proximité (amis, famille). Justifie un ton plus direct."
신경을 쓰다,faire attention / se soucier,복장에 신경을 쓰세요.,Faites attention à votre tenue.,"Se préoccuper d’un détail (tenue, étiquette, timing); “to pay attention, care about”."
액세서리를 하다,porter des accessoires,장례식에는 액세서리를 적게 하세요.,Portez peu d’accessoires pour des funérailles.,Mettre des bijoux/accessoires. Étiquette: discret pour les cérémonies formelles.
,,,,
5과,,,,
외모,apparence (physique),외모보다 성격이 더 중요해요.,La personnalité est plus importante que l’apparence.,"L’aspect extérieur (looks): visage, coiffure, style vestimentaire. Sert à parler de « soigner son look »."
인상,impression (visage),인상이 부드러워 보여요.,Il/Elle donne une impression douce.,"L’impression que dégage le visage (vibe initiale). Collocations: 좋은/나쁜 인상, 인상이 강하다."
첫인상,première impression,첫인상이 정말 좋았어요.,La première impression était excellente.,L’impression au premier contact; souvent considérée importante au travail ou en rendez‑vous.
단발머리,carré (cheveux courts féminins),단발머리로 잘랐어요.,J’ai coupé en carré.,Coupe féminine courte/moyenne (bob). Image nette/pratique; fréquent pour « changement de look ».
생머리,cheveux lisses (naturels),그녀는 긴 생머리예요.,Elle a de longs cheveux lisses.,Cheveux naturellement raides (straight). Opposé de 파마머리.
짧게 깎은 머리,coupe très courte,여름이라 머리를 짧게 깎았어요.,J’ai coupé très court pour l’été.,"Coupe courte type buzz/crew cut. Pratique, sport, sensation de fraîcheur."
파마머리,cheveux permanentés/bouclés,파마머리로 스타일을 바꿨어요.,J’ai changé pour une permanente.,"Cheveux ondulés/bouclés (perm). Effet volume/boucles, souvent au salon."
갸름하다,avoir le visage fin/ovale,얼굴이 가름해 보여요.,Il/Elle a le visage fin/ovale.,Décrit un visage élancé. Variante courante: 갸름하다 (plus usuelle en écriture).
둥글다,être rond,얼굴이 둥근 편이에요.,Son visage est plutôt rond.,"Forme arrondie (face, objets). Nuance descriptive neutre."
날씬하다,être mince (harmonieux),키도 크고 날씬해요.,Il/Elle est grand(e) et mince.,"Mince positif/équilibré (slim), différent de 마르다 (maigre). Compliment fréquent."
통통하다,être rondelet(te),아기가 통통해서 귀여워요.,"Le bébé est potelé, c’est mignon.",Un peu enrobé avec nuance affectueuse/douce. Moins abrupt que 뚱뚱하다.
마르다,être maigre,요즘 너무 말라 보여요.,Tu parais trop maigre ces temps-ci.,Très mince/maigre (skinny). Peut avoir une connotation négative (santé).
체격이 좋다,avoir une bonne carrure,그는 체격이 좋아요.,Il a une bonne carrure.,Constitution robuste/athlétique (broad build). Souvent compliment masculin.
뚱뚱하다,être gros(se),전에보다 좀 뚱뚱해졌어요.,J’ai pris du poids par rapport à avant.,Terme direct « overweight ». Sensible; à éviter pour ne pas vexer.
성격,personnalité,성격이 밝고 친절해요.,Il/Elle est jovial(e) et gentil(le).,"Traits de caractère; combine avec adjectifs: 활발하다, 조용하다, 솔직하다, etc."
사교적이다,être sociable,그는 아주 사교적이에요.,Il est très sociable.,"À l’aise avec les gens, réseau facile (outgoing). Positif en contexte pro."
솔직하다,être franc(he),솔직하게 말해 줄게요.,Je vais parler franchement.,Honnête/direct; peut sembler abrupt selon le ton.
얌전하다,être sage/discret,그녀는 얌전한 편이에요.,Elle est plutôt réservée.,"Calme, posé, discret (demure). Souvent pour un style/perso tranquille."
유머 감각이 있다,avoir de l’humour,그 사람은 유머 감각이 좋아요.,Il a un bon sens de l’humour.,"Sait faire/recevoir des blagues, bon timing social."
이해심이 많다,être très compréhensif(ve),그는 이해심이 많아요.,Il est très compréhensif.,"Empathique, tolérant; sait se mettre à la place des autres."
적극적이다,être proactif(ve),일에 아주 적극적이에요.,Il est très proactif au travail.,"Prend des initiatives, avance sans attendre (proactive). Opposé: 소극적이다 (passif)."
점잖다,être digne/posée,점잖은 인상을 줘요.,Il/Elle dégage de la dignité.,"Raffiné, correct, posé. Bonne image dans des contextes formels."
활동적이다,être actif(ve),주말엔 활동적으로 지내요.,Je mène une vie active le week-end.,Bouge beaucoup (sports/loisirs). Diffère de « proactif » (initiative).
잘생기다,être beau (souvent homme),진짜 잘생겼네요.,Il est vraiment beau.,"« Good‑looking ». En grammaire coréenne, forme passée descriptive (타고난/constaté)."
얼굴이 잘생기다,avoir un beau visage,얼굴이 정말 잘생겼어요.,Il a un très beau visage.,Met l’accent sur le visage (plus explicite).
대화가 통하다,bien se comprendre en parlant,우리는 대화가 잘 통해요.,On se comprend bien en discutant.,Bonne alchimie en conversation (same wavelength).
안경을 끼다,porter des lunettes,요즘 안경을 끼고 다녀요.,"Ces jours-ci, je porte des lunettes.","Verbe pour mettre/porter des lunettes, lentilles: 렌즈를 끼다."
얼마 전에,récemment,얼마 전에 머리를 잘랐어요.,J’ai coupé mes cheveux récemment.,Passé proche (recently). Syn.: 최근에 (plus formel).
어떻게 알았어?,Comment t’as su ?,내일 이사해. — 어떻게 알았어?,Je déménage demain. — Comment t’as su ?,Registre familier; surprise que l’autre sache. Forme polie: 어떻게 아셨어요?
외모에 얼마나 신경을 쓰는데.,Je soigne tellement mon look !,나 외모에 얼마나 신경을 쓰는데.,Tu sais combien je fais attention à mon apparence !,"Insiste sur l’effort; ton familier/colloquial, souvent pour se défendre/taquiner."
드라이하다,faire un brushing/sécher,아침마다 머리를 드라이해요.,Je me fais un brushing chaque matin.,Blow‑dry au salon ou chez soi; terme d’emprunt.
바르다,appliquer (produit),헤어에 오일을 발랐어요.,J’ai appliqué de l’huile sur les cheveux.,Appliquer crème/gel/baume. Coiffure ou soins de peau.
무스를 바르다,mettre de la mousse coiffante,볼륨 주려고 무스를 발랐어요.,J’ai mis de la mousse pour donner du volume.,Produit coiffant (mousse/foam) pour volume et tenue.
능력,capacité/compétence,문제 해결 능력이 좋아요.,Il a de bonnes capacités de résolution de problèmes.,"Ability/skills; se combine: 언어 능력, 업무 능력, 리더십."
능력이 있다,être compétent,그는 업무 능력이 있어요.,Il est compétent au travail.,Avoir des aptitudes concrètes; compliment professionnel.
동호회,"club (loisirs, adultes)",회사 동호회에 가입했어요.,J’ai rejoint un club de l’entreprise.,Club de hobby pour adultes. Diffère de 동아리 (plutôt étudiant).
명함,carte de visite,명함 한 장 주시겠어요?,Pourrais-je avoir votre carte de visite ?,"Business card; étiquette: donner/recevoir à deux mains, lire avant de ranger."
(-이/가) 넘다,dépasser/plus de X..,나이가 마흔을 넘었어요.,J’ai dépassé la quarantaine.,"Exceed/go over pour âge, taille, quantité, temps."
선택하다,choisir/sélectionner,최종 후보 중 하나를 선택했어요.,J’ai sélectionné une option finale.,Choix après comparaison; plus formel que 고르다 (choisir).
묘사하다,décrire,외모를 자세히 묘사해 보세요.,Décrivez l’apparence en détail.,"Décrire par mots (describe). Utilisé en rédaction, police, portraits."
하루 종일,toute la journée,하루 종일 바빴어요.,J’ai été occupé(e) toute la journée.,Durée continue du matin au soir; insiste sur la constance.
어떻게 생겼는데?,Il/Elle ressemble à quoi ?,그 사람 어떻게 생겼는데?,Il/Elle est comment physiquement ?,Familier; demande une description de l’apparence (looks).
깊다,être profond,생각이 깊어요.,Sa pensée est profonde.,"Profondeur physique/abstraite (eau, nuit, pensée). Intensité/gravité."
생각이 깊다,être réfléchi,그는 생각이 깊은 사람이에요.,C’est quelqu’un de très réfléchi.,"Qualifie une personne posée, prudente, qui réfléchit avant d’agir/parler."
생각을 깊게 하다,réfléchir en profondeur,이 문제에 대해 생각을 깊게 했어요.,J’ai beaucoup réfléchi à ce problème.,Accent sur l’effort de réflexion soutenue/profonde.
다양하다,être varié/divers,취미가 다양해요.,J’ai des hobbies variés.,Diversité de types/options. Collocations: 다양한 경험/배경.
절대,absolument (jamais/à ne pas…),그건 절대 말하지 마.,Ne le dis absolument jamais.,Adverbe intensif; souvent avec négation: 절대 안/절대 못. Polie: 절대로.
눈이 높다,avoir des exigences élevées,그는 눈이 높아서 쉽게 안 사요.,"Il est difficile, il achète rarement.",Standards élevés (people/objets). Peut sonner difficile/exigeant.
발이 넓다,avoir un large réseau,그는 발이 넓어 아는 사람이 많아요.,Il connaît beaucoup de monde.,Bien connecté socialement (wide network). Utile pour affaires/opportunités.
입이 무겁다,savoir garder un secret,그는 입이 무거운 편이에요.,Il sait garder un secret.,"Discret, ne parle pas inutilement. Opposé: 입이 가볍다 (bavard, indiscret)."
비밀을 지키다,garder un secret,약속한 비밀을 꼭 지켰어요.,J’ai bien gardé le secret promis.,Respecter la confidentialité; valeur importante en amitié/travail.
,,,,
6과,,,,
기계,"machine, appareil",기계가 고장 났어요.,La machine est en panne.,"Terme général pour dispositif mécanique/électrique (machine). Contexte SAV, usine, bureau."
가전제품,électroménager (au sens large),가전제품을 새로 구입했어요.,J’ai acheté de nouveaux appareils électroménagers.,"Produits électriques pour la maison (frigo, lave‑linge, TV). Mot englobant."
복사기,photocopieur,복사기가 먹통이에요.,Le photocopieur ne répond plus.,Appareil pour faire des copies (copier). Bureaux/écoles.
스캐너,scanner,서류를 스캐너로 스캔했어요.,J’ai scanné le document avec un scanner.,Numérise des documents/images (to scan). Parfois intégré à une imprimante.
콘센트,prise murale,콘센트가 어디에 있어요?,Où est la prise murale ?,Prise d’alimentation au mur. À ne pas confondre avec 플러그 (fiche).
고,brancher à la prise,전원 코드를 콘센트에 꽂으세요.,Branchez le câble d’alimentation dans la prise.,Action de connecter physiquement l’alimentation (plug in). Étape basique de dépannage.
파워 버튼,bouton Power,파워 버튼을 길게 누르세요.,Maintenez le bouton Power enfoncé.,Bouton d’alimentation pour allumer/éteindre (power).
플러그,Plug,플러그가 헐거워요.,La fiche est lâche.,Extrémité du câble qui va dans la prise. Vérifier contact et sécurité.
연결이 잘못되어 있다,mauvais branchement,케이블 연결이 잘못되어 있어요.,Le câble est mal branché.,Connexion incorrecte (loose/wrong port). Cause fréquente de panne.
종이가 걸리다,papier coincé (bourrage),복사기에 종이가 걸렸어요.,Le papier s’est coincé dans le photocopieur.,« Paper jam » dans imprimantes/photocopieurs. Procédure de retrait à suivre.
컴퓨터가 안 켜지다,l’ordi ne s’allume pas,컴퓨터가 안 켜져요.,L’ordinateur ne s’allume pas.,"Problème d’alimentation, matériel ou batterie. Vérifier câble, multiprise, PSU."
토너가 떨어지다,toner épuisé,프린터 토너가 떨어졌어요.,Le toner de l’imprimante est épuisé.,Cartouche de toner vide (laser). Nécessite remplacement.
고객,client,고객 불만을 접수했어요.,Nous avons reçu une plainte client.,Terme standard business (customer).
고객 상담실,service client (centre),문제는 고객 상담실로 문의하세요.,Contactez le service client pour le problème.,"Centre d’appels/accueil pour demandes, réclamations."
상담원,conseiller (SAV),상담원과 통화했습니다.,J’ai parlé avec un conseiller.,Agent du service client (call center/desk).
무엇을 도와 드릴까요?,Que puis‑je faire pour vous ?,무엇을 도와 드릴까요?,En quoi puis‑je vous aider ?,Formule polie standard d’accueil au service client.
연락 가능한 번호를 알려 주시겠습니까?,"Votre numéro joignable, s’il vous plaît ?",연락 가능한 번호를 알려 주시겠습니까?,Pourriez‑vous me donner un numéro joignable ?,Formule polie pour collecter les coordonnées.
이름과 연락처를 남겨 주세요,Laissez votre nom et contact,성함과 연락처를 남겨 주세요.,Veuillez laisser votre nom et vos coordonnées.,Demande d’infos pour rappel/suivi. Polie et fréquente.
친절하게 모시겠습니다,Nous vous servirons avec amabilité,"고객님, 친절하게 모시겠습니다.",Nous allons bien nous occuper de vous.,Formule commerciale polie d’accueil et de service.
결과,résultat,검사 결과를 알려 드리겠습니다.,Nous vous communiquerons le résultat.,"Outcome d’un test/réparation, analyse, impression."
상대방,"interlocuteur, partie adverse",상대방 의견을 먼저 듣죠.,Écoutons d’abord l’interlocuteur.,"L’autre partie dans une conversation, un conflit ou un contrat."
원본,original (document),원본을 제출해 주세요.,Veuillez soumettre l’original.,Document non copié/numérisé. Important pour démarches officielles.
누르다,appuyer (bouton),시작 버튼을 눌러 주세요.,Appuyez sur le bouton Démarrer.,Pression sur un bouton/écran. Collocations: 버튼/키/종이.
인쇄하다,imprimer,파일을 컬러로 인쇄했어요.,J’ai imprimé le fichier en couleur.,To print (depuis PC). ≈ 출력하다 (sortir/imprimer).
클릭하다,cliquer,아이콘을 클릭하세요.,Cliquez sur l’icône.,Click souris/touchpad. Double‑cliquer: 더블 클릭하다.
통화 중,en ligne (occupé),지금 통화 중이십니다.,Il est en communication.,Statut « ligne occupée » ; message d’accueil/pro/secrétariat.
현금 인출기,distributeur de billets (ATM),현금 인출기에서 돈을 찾았어요.,J’ai retiré de l’argent au distributeur.,Appareil bancaire pour retirer (ATM). Syn.: 현금자동인출기(구).
기타,"autres, divers",기타 문의 사항은 이메일로 주세요.,"Pour toute autre question, envoyez un e‑mail.",Catégorie « autres » (miscellaneous).
모델명,nom de modèle (référence),모델명을 알려 주세요.,"Donnez la référence du modèle, svp.",Identifiant précis d’un produit; nécessaire pour pièces et SAV.
시기,"période, moment",구입 시기가 언제예요?,C’est quand la période d’achat ?,Moment/période (time period). Plus large que 날짜 (date).
구입 시기,date/période d’achat,구입 시기를 확인해 주세요.,Veuillez vérifier la date d’achat.,"Pour garanties, retours, pièces. Demande standard SAV."
지역,"région, zone",어느 지역에서 사용하세요?,Dans quelle région l’utilisez‑vous ?,"Sert à planifier interventions, livraison, couverture de service."
구입하다,acheter (formel),어제를 기준으로 구입했습니다.,J’ai acheté hier.,Forme plus formelle de 사다. Documents/contrats/factures.
연결하다,connecter,프린터를 PC에 연결했어요.,J’ai connecté l’imprimante au PC.,Joindre par câble/Wi‑Fi; relier deux systèmes.
확인하다,"vérifier, confirmer",연결 상태를 확인해 주세요.,Veuillez vérifier l’état de la connexion.,Vérif de base dans troubleshooting; très fréquent.
가능하다,être possible,당일 수리가 가능할까요?,La réparation le jour même est‑elle possible ?,"Confirmer faisabilité (service, option, échange)."
서비스 기사,technicien (SAV),서비스 기사가 방문할 거예요.,Le technicien passera.,Spécialiste envoyé pour diagnostiquer/réparer sur site.
저장되어 있다,être enregistré,사진이 자동으로 저장되어 있어요.,Les photos sont enregistrées automatiquement.,État passif: données déjà stockées (device/cloud).
그래 주셨으면 좋겠어요,J’aimerais que vous fassiez ça,내일 방문해 주셨으면 좋겠어요.,J’aimerais que vous passiez demain.,Demande polie et douce d’une action souhaitée.
어떻게 하지?,On fait comment ?,"프린터가 멈췄는데, 어떻게 하지?",L’imprimante s’est arrêtée; on fait comment ?,Réaction spontanée face à un souci; familier. Polie: 어떻게 하죠?/할까요?
기능,"fonction, fonctionnalité",이 모델은 스캔 기능이 있어요.,Ce modèle a une fonction de scan.,Feature d’un appareil/logiciel.
두부,tofu,두부를 하나 샀어요.,J’ai acheté un tofu.,"Aliment à base de soja; rien à voir avec appareils, mais vocab courant."
디자인,design,디자인이 깔끔해요.,Le design est épuré.,Apparence/esthétique d’un produit.
사실,"en fait, le fait",사실 그럴 필요 없어요.,"En fait, ce n’est pas nécessaire.",Introduit la réalité/un correctif; ou « fait » (fact).
실수,erreur (faute),제 실수였어요.,C’était mon erreur.,Mistake; souvent utilisé pour s’excuser.
실수로,par erreur,실수로 파일을 지웠어요.,J’ai supprimé le fichier par erreur.,By mistake/accidentally. Très fréquent en SAV/IT.
안내서,"guide, notice",사용자 안내서를 참고하세요.,Veuillez consulter le guide utilisateur.,Manuel d’utilisation (user guide). Syn.: 설명서.
양,quantité,인쇄물의 양이 많네요.,La quantité d’impressions est élevée.,"Mesure/volume/quantité; en cuisine, production, documents."
